job_title,job_group,min_salary,max_salary,salary_unit,city,district
Business Analyst,Business,10000000.0,20000000.0,VND,Hà Nội,
Nhân Viên Lập Trình Phần Mềm - Thu Nhập Từ 10 - 20 Triệu,IT,10000000.0,20000000.0,VND,Hồ Chí Minh,
.Net Developer (N3) | T9160,IT,,,,Toàn quốc,
"Project Manager (Tiếng Anh Giao Tiếp, Từ 1 Năm Kinh Nghiệm)",Business,,35000000.0,VND,Hà Nội,Cầu Giấy
Devops/Sre - Chuyên Viên Quản Trị Hệ Thống/Automation,IT,,50000000.0,VND,Hà Nội,Thanh Xuân
Devops/Sre - Chuyên Viên Quản Trị Hệ Thống/Automation,IT,,50000000.0,VND,Hải Dương,TP Hải Dương
Angularjs (Từ 1.5 Năm Kinh Nghiệm),Business,12000000.0,18000000.0,VND,Hà Nội,Nam Từ Liêm
IT Application Support,IT,,,,Hồ Chí Minh,Quận 7
Thực Tập Sinh Lập Trình Viên .Net,IT,2000000.0,6000000.0,VND,Hà Nội,Cầu Giấy
Chuyên Viên Lập Trình Phần Mềm,IT,,,,Hà Nội,Cầu Giấy
Thực Tập Lập Trình Viên .Net,IT,3000000.0,6000000.0,VND,Hà Nội,Cầu Giấy
Chuyên Viên Business Analyst,Business,,,,Hà Nội,Cầu Giấy
AI Engineer,IT,,,,Hà Nội,
Senior Business Intelligence Analyst,Business,1000.0,,USD,Hà Nội,Cầu Giấy
Full-Stack Developer,IT,,,,Hà Nội,
Senior Java Developer,IT,,50000000.0,VND,Hà Nội,Nam Từ Liêm
Business Development Executive,Business,10000000.0,30000000.0,VND,Hồ Chí Minh,Tân Bình
Nhân Viên IT Helpdesk,IT,9000000.0,10000000.0,VND,Hồ Chí Minh,Quận 10
IT Infra Lead,IT,,,,Hồ Chí Minh,
.Net Developer,IT,,,,Hồ Chí Minh,Quận 2
Secretary - Salary Up To 15M,Business,,,,Hồ Chí Minh,Thủ Đức
Embedded Software Engineer (Iot Project)_Up To $2800,IT,,,,Hà Nội,
Junior Developer (C/Embedded),IT,,,,Hà Nội,Cầu Giấy
Senior AI Engineer - Salary Up To $2500,IT,,,,Hà Nội,Cầu Giấy
Chuyên Gia Big Data,IT,,50000000.0,VND,Hà Nội,Đống Đa
Front End Developer,IT,,,,Hà Nội,
Backend Developer,Business,,,,Hà Nội,
Trưởng Nhóm Lập Trình Web,IT,30000000.0,35000000.0,VND,Hồ Chí Minh,Tân Bình
Nhân Viên Lập Trình Mobile,IT,10000000.0,20000000.0,VND,Hồ Chí Minh,Tân Bình
Nhân Viên Lập Trình Web,IT,10000000.0,20000000.0,VND,Hồ Chí Minh,Tân Bình
Nhân Viên Lập Trình Web,IT,10000000.0,20000000.0,VND,Hà Nội,Ba Đình
Trưởng Bộ Phận Lập Trình Mobile,IT,30000000.0,35000000.0,VND,Hồ Chí Minh,Tân Bình
Trưởng Bộ Phận Lập Trình Mobile,IT,30000000.0,35000000.0,VND,Hà Nội,Ba Đình
Nhân Viên Triển Khai Phần Mềm,IT,8000000.0,12000000.0,VND,Hà Nội,Ba Đình
Nhân Viên Tester Thu Nhập 9 Đến 12 Triệu,IT,9000000.0,12000000.0,VND,Hà Nội,Ba Đình
Nhân Viên Tester Thu Nhập 9 Đến 12 Triệu,IT,9000000.0,12000000.0,VND,Hồ Chí Minh,Tân Bình
System Admin,Business,10000000.0,18000000.0,VND,Hà Nội,Hồ Chí Minh
Middle-Up QA/Tester,IT,600.0,1300.0,USD,Đà Nẵng,Hải Châu
Thực Tập Sinh Lập Trình Viên .Net,IT,3000000.0,8000000.0,VND,Hà Nội,Cầu Giấy
Cộng Tác Viên IT,IT,3000000.0,,VND,Hà Nội,
Senior Devops Engineers - Salary Upto 2000 Usd,IT,,2000.0,USD,Hồ Chí Minh,Bình Thạnh
Project Manager,Business,,40000000.0,VND,Hồ Chí Minh,Bình Thạnh
Devops Engineer,IT,20000000.0,30000000.0,VND,Hà Nội,Hoàn Kiếm
Nhân Viên Web Designer (Html/Css + Wordpress),IT,,,,Hồ Chí Minh,Bình Thạnh
Marketing Communication,Business,,,,Hồ Chí Minh,Bình Thạnh
Chuyên Viên Cao Cấp BI,IT,,,,Hà Nội,Hoàn Kiếm
IT Business Analyst,Business,,,,Hồ Chí Minh,Tân Bình
Quản Lý Dự Án (Lĩnh Vực Công Nghệ Thông Tin),Business,12000000.0,,VND,Hà Nội,Cầu Giấy
Product Owner,Business,,,,Hà Nội,Nam Từ Liêm
Vuejs Developer - Không Yêu Cầu Tiếng Anh - Từ 2 Năm Kinh Nghiệm - Mức Lương Lên Tới 30 Triệu,IT,,30000000.0,VND,Hà Nội,Nam Từ Liêm
.Net Full-Stack Developer,IT,,,,Hồ Chí Minh,Quận 10
Tech Lead Làm Việc Tại Nghệ An ( Thu Nhập Upto 25M),Business,18000000.0,25000000.0,VND,Nghệ An,TP Vinh
IT Business Analyst - HCM,Business,,,,Hồ Chí Minh,Quận 10
Scrum Master (Ecommerce Platform),Business,20000000.0,30000000.0,VND,Hà Nội,Thanh Xuân
Scrum Master (Ecommerce Platform),Business,20000000.0,30000000.0,VND,Hồ Chí Minh,Quận 7
Scrum Master (Ecommerce Platform),Business,20000000.0,30000000.0,VND,Hải Dương,TP Hải Dương
Business Analyst (Ba),Business,,,,Hà Nội,Thanh Xuân
Nhân Viên Data Admin (Thu Nhập Từ 7 - 8M),IT,7000000.0,8000000.0,VND,Hồ Chí Minh,
Tester,IT,,1000.0,USD,Hà Nội,
Kỹ Thuật Viên Tại Trung Tâm Bảo Hành,Business,7000000.0,8000000.0,VND,Hà Nội,Hai Bà Trưng
Nhân Viên Hỗ Trợ Kỹ Thuật [Quận Long Biên-Hà Nội],IT,7000000.0,10000000.0,VND,Hà Nội,Long Biên
Senior Game Client Developer (Unity/C),IT,,,,Hồ Chí Minh,Quận 4
PHP Developer [HN],IT,,,,Hà Nội,Nam Từ Liêm
Chuyên Viên Kiểm Soát Quy Trình Phát Triển Phần Mềm (Pqa),IT,20000000.0,40000000.0,VND,Hà Nội,Cầu Giấy
Job .Net Developer [HN],IT,,,,Hà Nội,Nam Từ Liêm
Technical Support Engineer (Open For Fresher) Salary Upto 15M,IT,8000000.0,15000000.0,VND,Hà Nội,Hai Bà Trưng
Senior C Developer,IT,,2000.0,USD,Hà Nội,Cầu Giấy
Junior C Developer,IT,,750.0,USD,Hà Nội,Cầu Giấy
Lập Trình Viên .Net/C# (Fresher 6 Tháng Kn- Lương 8-15Tr/Tháng),IT,8000000.0,15000000.0,VND,Hà Nội,Nam Từ Liêm
Kỹ Sư Lập Trình Nhúng (Up To 28M),IT,,28000000.0,VND,Hà Nội,Cầu Giấy
Tester (Thu Nhập 15M - 25M),IT,12000000.0,20000000.0,VND,Hà Nội,
Senior Java Developer,IT,,30000000.0,VND,Hà Nội,Nam Từ Liêm
Android Developer (Kotlin/Java),IT,13000000.0,18000000.0,VND,Hà Nội,Cầu Giấy
Fresher Mobile Developer (React Native),IT,,,,Hồ Chí Minh,Quận 3
PHP Laravel - From Mid. - Up To 2000K Usd,IT,1000.0,2000.0,USD,Hồ Chí Minh,Quận 12
IT Developer,IT,,,,Hồ Chí Minh,Thủ Đức
Nhân Viên Middle Sre/Devsecops (Aws),Business,,30000000.0,VND,Hà Nội,Cầu Giấy
Nhân Viên IOS Developer (Swift),IT,13000000.0,20000000.0,VND,Hà Nội,Cầu Giấy
Thực Tập Sinh Nodejs,Business,,,,Hà Nội,Nam Từ Liêm
Iot Embedded Engineer (Offer Upto $2000),IT,,50000000.0,VND,Hà Nội,
IT Manager (Microsoft-Based),Business,,1500.0,USD,Hà Nội,
"Lập Trình Viên PHP Làm Việc Tại Quận 3, Tphcm",IT,20000000.0,,VND,Hồ Chí Minh,Quận 3
Business Analyst,Business,25000000.0,40000000.0,VND,Hồ Chí Minh,Phú Nhuận
